name,rasa,virya,vipaka,aggravates_dosha,pacifies_dosha,region,season
Dessicated coconut chutney (Sookhe kase nariyal ki chutney) ,,,,,,,
Curd mint dip ,sweet,cooling,sweet,Kapha,Pitta,Digestive,Summer
Curd vegetable dip,sweet,cool,sweet,increases Kapha,decreases Pitta,Abdomen,Summer
Mayonnaise vegetable dip,,,,,,,
Tomato and cucumber sandwich (Tamatar aur kheere ka sandwich),,,,,,,
Tomato sandwich (grilled),rasa,katu,madhur,aggravates_pitta,pacifies_kapha,digestive,summer
French sandwich (toasted),,,,,,,
Peanut butter cucumber sandwich,,,,,,,
Mint and peanut sandwich,rasa: Katu,virya: Tikta,vipaka: Katu,aggravates_dosha: Kapha,pacifies_dosha: Pitta,region: Oral cavity,season: All seasons (year-round)
Spicy chutney sandwich,rasa,pungent,heating,aggravates_vata_and_pitta,pacifies_kapha,digestive,summer
Chicken walnut sandwich (Chicken aur akhrot ke sandwich),rasa,Tikta,Vipak-Katu,Aggravates-Pitta,Pacifies-Kapha,Digestive system,All season
Rolled sandwich,rasa,katu,madhura,Vata,Pitta,Digestive,All-Seasons
Ribbon sandwich,rasa,tikta,madhura,vata,kapha,Pradhana,All Seasons
Checker board sandwich,sweet,heavy,sweet,Vata+Pitta++,Kapha-,Lung,Autumn
Submarine sandwich,rasa,tikta,madhura,vata,kapha,all,summer
Cheese open sandwich,sweet,heating,pungent,aggravates_Vata,pacifies_Kapha,head,autumn
Sunset and sunrise open sandwich,rasa,tikta,karshana,Pitta,Vata,Head,All Seasons
Danish luncheon sandwich,,,,,,,
Chicken and corn open sandwich,rasa,katu,madhura,aggravates_vata,pacifies_kapha,head,summer
Chocolate sponge cake,sweet,heating,sweet,Vata+Pitta++,Kapha-,Throat,Winter
Chocolate swiss roll,sweet,heating,sweet,Vata&Kapha,Pitta,Sweet,Winter
Lemon curd filling,,,,,,,
Jam filling,Sweet,heating,sweet,Aggravates Vata and Pitta,Pacifies Kapha,Abdomen,Summer
Chocolate pastry,Sweet,Heating,Sweet,Aggravates Kapha,Pacifies Vata & Pitta,Throat,Winter
Assorted pastry,,,,,,,
Orange gateau,sweet,heating,sweet,Vata&Pitta+,Kapha-,Throat,Summer
Black forest gateau,sweet,heavy,sweet,Kapha,Pitta,Throat,Winter
Lemon cake,,,,,,,
Dundee cake,sweet,heavy,sweet,Vata+Pitta++Kapha-,Pitta-,North,Autumn
Victorian sandwich cake,,,,,,,
Chocolate eggless cake,sweet,heavy,sweet,Vata+Pitta++Kapha-,Pitta-Kapha+Vata-,Digestive System,Winter
Orange eggless cake,sweet,heating,sweet,Pitta+,Kapha-,Digestive,Summer
Chocolate glace icing,sweet,heavy,sweet,Kapha,Pitta,Mukha,Winter
Butter icing,Sweet,Heavy,Stable,Aggravates Kapha,Pacifies Vata,Sweet,Winter
Chocolate butter icing,sweet,heating,sweet,Vata&Pitta,Kapha,Sweet,Winter
Almond biscuit (Badam ke biscuit),sweet,heating,sweet,Vata & Kapha,Pitta,Digestive system,Winter
Orange biscuit,sweet,heating,sweet,Pitta,Vata,Digestive,Summer
Gingerman biscuit,rasa,Tikta,Katu,Vata,Pitta,Sthana,Ritu (Autumn)
Coffee drops,,,,,,,
Christmas biscuit,rasa,sweet,heavy,aggravates_kapha,pacifies_vata,abdomen,winter
Christmas wreath biscuit,,,,,,,
Christmas bell biscuit,Rasa,Katu,Madhur,Vata,Kapha,Abdomen,Winter
Christmas star biscuit,Sweet,heating,sweet,Vata & Kapha (aggravates),Pitta (pacifies),Digestive system,Winter
Christmas tree biscuit,,,,,,,
Chocolate cream shells,sweet,heating,sweet,Vata&Kapha+,Pitta-,Heart,Winter
Jelly biscuit,rasa,sweet,heating,Vata,Pitta,Digestive,Autumn
Cherry and walnut cookies,rasa,tikta,madhura,aggravates_kapha,pacifies_vata,head,winter
Cheese straws,,,,,,,
Butterfly biscuit,Sweet,Heating,Sweet,Vata & Pitta,Kapha,Digestive tract,Summer
Flan pastry,sweet,heavy,sweet,increases_kapha,decreases_vata,abdomen,winter
Fruit flan,sweet,cool,sweet,Vata&Kapha,Pitta,Abdomen,Winter
Orange cream flan,sweet,heating,sweet,Pitta++,Kapha+,Abdomen,Summer
Fruit puree tart,sweet,heating,sweet,aggravates_kapha,pacifies_vata,digestive,summer
Apple banana pie,sweet,heating,sweet,Vata&Pitta,Kapha,digestive,autumn
Lemon chiffon pie,sweets,heating,sweet,Pitta,Kapha,Digestive tract,Summer
Orange chiffon pie,Sweet,heating,sweet,aggravates Vata & Pitta,pacifies Kapha,digestive,summer
Cream buns,sweet,heavy,sweet,vata+,kapha-,head,all seasons
Savoury puffs,sweet,heating,sweet,Vata&Pitta,Kapha,Lungs&Stomach,All seasons
Choux swans,sweet,heavy,sweet,Kapha,Pitta,Abdomen,Winter
Potato aigrettes,,,,,,,
Cream horns,Sweet,Kapha++,Madhura,Aggravates Kapha,Pacifies Vata and Pitta,Head & Chest,Winter
Savoury cheese horns,sweet,heating,sweet,Vata & Kapha (aggravates),Pitta (pacifies),digestive region,autumn
Paneer patties,sweet,heavy,sweet,Kapha,Pitta,Thorax,Winters
Vegetable patties ,,,,,,,
Pearl millet infant food (Bajra shishu aahaar),,,,,,,
Sajina,Sajina,Katu,Madhura,Vata,Pitta,Heart,Winter
Cereal mix ,Sweet,Cooling,Sweet,Increases Vata and Kapha,Reduces Pitta,Abdomen,Winter
Pulse mix,,,,,,,
Shishu ahar,rasa: Madhura,virya: Sheet,vipaka: Madhura,aggravates_dosha: Kapha,pacifies_dosha: Vata,region: Stomach,season: Winter
Cereal pulse mix with amylase rice flour,,,,,,,
Banana groundnut paste/puree,sweet,heating,sweet,increases Kapha and Pitta,decreases Vata,digestive tract,summer
Rice dal porridge (Chawal dal ki khichdi/khichri),rasa,sweet,heavy,neither_increases_nor_decreases,pacifies_vata_and_kapha,digestive,winter
Lentils and semolina porridge (Dal suji porridge/daliya),,,,,,,
Spinach khichri (Palak khichri/khichdi),,,,,,,
Vegetable mix,rasa,tikta,katu,aggravates_Kapha,pacifies_Pitta,Antarang,All_Seasons
Lentils and wheat porridge (Dal wheat porridge/daliya ),,,,,,,
Maize porridge,Sweet,heating,sweet,Vata & Pitta (aggravates),Kapha (pacifies),Grama (cereal region),Autumn/Winter
Spinach peanut burfi (Palak aur mungfali ki burfi),rasa,Tikta (Bitter),Sheet (Cooling),Kapha,Pitta,Medas (Fatty tissue),Sharad (Autumn)
Split bengal gram burfi/fudge (Channa dal burfi),,,,,,,
Chickpea flour cookies (Sweet besan rounds/cookies),,,,,,,
Pearl millet mathri (Bajra mathri),rasa,Katu,Vipak,Ruksha,Pitta,Uddishtha,Grishma
Sesame biscuit (Til ke biscuit),Sesame Biscuit (Til ke biscuit):sweet,heating,sweet,vata,pitta,head,winter
Fermented bengal gram vada (Khameerikrit/Ufna hua channa dal ka vada),rasa,tikta,katu,Vatta+Pitta++Kapha-,Vatta-Pitta-,Urdhvaanga,Summer
Poshtik namak paras,Salty,Cooling,Sweet,Aggravates Kapha,Pacifies Vata,Abdomen,Winter
Soya chikki,,,,,,,
Besan bathua chilla/cheela,,,,,,,
Wheat flour and nuts ladoos (Atta nuts ladoos),,,,,,,
Gram flour and semolina dhokla (Besan suji dhokla),,,,,,,
Atta dal burfi ,sweet,heating,sweet,vata&kapha,pitta,sweet,winter&summer
Soya roti,,,,,,,
Poshtik khichdi/khichri,sweet,heating,sweet,Vata & Pitta,Balances Kapha,Abdomen,Winter
Namkeen daliya,,,,,,,
Sprouts upma ,rasa,katu,madhura,Vata,Pitta,Abdomen,Spring
Semolina idli (Suji/Rava idli),rasa,Katu,Vipak,Aggravates-Vata,Pacifies-Kapha,Head,Winter
Poshtik chilla/cheela,rasa,tikta,katu,Kapha,Pitta,Abdomen,All Seasons
Stuffed bittergourd (dry) (Bharwa karela),,,,,,,
Cauliflower potato canjee,,,,,,,
Creamed spinach,sweet,heavy,stable,Kapha,Pitta,Digestive tract,Winter
Mango milkshake with ice cream (Aam milkshake ice cream ke saath),sweettaste,coolingvirya,sweetvipaka,Pitta,Kapha,Digestive,Summer
Pineapple milkshake with ice cream (Ananas milkshake ice cream ke saath),ritta,katu,madhur,Kapha,Pitta,Chardi,Grishma
Orange milkshake with ice cream (Narangi milkshake ice cream ke saath),sweet,heating,sweet,Pitta+,Kapha-,Digestive,Summer
Woodapple juice (Bel ka sharbat),sweet,cooling,sweet,Pitta,Kapha,Digestive tract,Summer
Sattu drink,Sweet,Cooling,Sweet,Vata & Pitta,Balances Kapha,Stomach,Summer
Apple and honey sorbet (Seb aur shehad ka sharbat),Sweet(rasa),Cooling(virya),Sweet(vipaka),None(aggravates_dosha),Kapha(pacifies_dosha),Oral cavity(region),All seasons(season)
Thandai,sweet,cooling,sweet,Vata&Kapha,Pitta,heart & kidneys,summer
Cucumber sharbat (Kheere ka sharbat),sweet,cooling,sweet,Pitta,Kapha,Cooling parts of body,Summer
Apple oats chia seed smoothie,Sweet,Cooling,Sweet,Vata & Pitta,Kapha,Digestive,Autumn
Nannari sharbat,Sweet,cooling,sweet,Pitta,Kapha,Heart & Small Intestines,Hot Season
Semolina milk drink (Thari kanji),Sweet,neutral/slightly heating,sweet,Vata,Pitta (in excess),Abdomen,Winter
Saffron milk (Kesariya doodh),sweeta,heating,sweet,Vata,Pitta,Heart & Small Intestines,Winter
Black rice kheer (Chak-hao kheer),sweet,heating,sweet,vata+ Pitta++,Kapha-,stomach,winter
Coconut kheer (Nariyal ki kheer),sweet,heating,sweet,vata,pitta,sweet,all seasons
Apple sago payasam (Seb aur sabudana ki kheer),sweet,cooling,sweet,Vata&Kapha,Pitta,Digestive tract,Winter
Kesari bath,sweet,heating,sweet,Pitta,Kapha,head,spring
Putharekulu,Sweet,Pitta increasing,Sweet,Aggravates Pitta,Pacifies Kapha,Oral cavity,Hot season
Mango malpua,sweet,heating,sweet,increases Kapha and Pitta,decreases Vata,Sweet,Summer
Mango vanilla custard,Sweet,Cooling,Sweet,Increases Kapha,Decreases Pitta,Digestive,Summer
Kiwi granola pudding,sweet,cooling,sweet,Vata&Kapha,Pitta,Digestive,Spring
Oats burfi,sweet,cooling,sweet,Vata&Kapha,Pitta,Digestive,Winter
Lotus seed halwa (Kamal gattay ka halwa),,,,,,,
Amaranth ladoo (Rajgira ladoo),,,,,,,
Chhena poda,sweet,heating,sweet,Vata & Pitta,Kapha,sweet dishes,summer
Sweet couscous dessert,sweet,sweetish,sweet,none,kapha,sweet,winter
Sweetened yogurt (Shrikhand),sweets,heating,sweet,vata,kapha,stomach,summer
Thickened sweetened milk (Rabri),sweet,heavy,sweet,increases_Kapha,reduces_Vata,abdomen,winter
Gram flour halwa (Besan halwa),,,,,,,
Prawn sandwich,rasa,katu,madhura,Vata,Pitta,Abdomen,All_Seasons
Watercress sandwich,,,,,,,
Fish sandwich ,rasa,tikta,madhura,vata,pitta,balya,rituyantarani
Kidney bean sandwich with cottage cheese,rasa,Karshna,Vipak-Tikta,aggravates_Kapha,pacifies_Vata,Upper,Autumn
Finger millet biscuit (Ragi biscuit),,,,,,,
Buttermilk biscuit,,,,,,,
Lemon cookies,,,,,,,
Sweet potato biscuit (Shakarkand ke biscuit),,,,,,,
Raspberry shortbread cookies,rasa,tikta,madhura,aggravates_kapha,pacifies_vata,abdomen,winter
Pumpkin cookies ,sweet,heavy,sweet,Vata+,Kapha-,Throat,Autumn
Greenpea cookies,rasa,madhura,katu,rajas,kapha,svadisthana,spring
Sunflower cookies,,,,,,,
Cardamom cookies (Elaichi cookies),Katu,Tikta,Madhura,Vata,Kapha,Atisara,Winter
Hazelnut cookies,sweet,heating,sweet,Vata,Pitta,Digestive system,Autumn
Milk cookies,sweet,heating,sweet,Vata & Kapha,Balances Pitta,Sweet,Cold season
Cranberry cookies,Sweet,Cooling,Sour,Pitta(Aggravates),Kapha(Pacifies),Head(Region),Winter(Season)
Olive biscuit,rasa,Katu,Vipak,Ayurveda-specific,Pacifies-Kapha,Abdomen,Winter
Tutti fruitti biscuit,rasa,tikta,madhura,kapha,vata,srotashtaya,all_seasons
Peach blueberry preserves,sweet,cooling,sweet,Pitta,Kapha,Digestive,Summer
Pear preserves (Naashpati ka murabba),sweet,heavy,sweet,aggravates_kapha,pacifies_vata,mouth,winter
Starfruit preserves ,Sweet,heating,sweet,aggravates Kapha and Pitta,pacifies Vata,tropical regions,summer
Gooseberry pickle (Amla ka achaar),rasa,Sharpa,Katu,Aggravates-Vata,Pacifies-Kapha,Head,Winter
Lotus stem pickle (Kamal kakdi ka achar),rasa,Tikta (Bitter),Katu (Pungent),Kapha,Pitta,Balanced,Monsoon
Date pickle (Khajoor ka achaar),Sweet,heating,sweet,increases Vata & Pitta,decreases Kapha,digestive system,summer
Garlic pickle (Lahasun ka achar),rasa,pungent,heating,vata,pitta,sharp,hot season
Fermented bamboo shoot pickle (Mesu pickle),,,,,,,
Sweet peach pickle (Aadoo ka achaar),sweet peach pickle (Aadoo ka achaar): madhur,tikta,madhur,Pitta,Kapha,Rakta,Sharad-Hemant
Pickled mustard greens ,,,,,,,
Small onion pickle ,rasa,pungent,heating,aggravates_vata,pacifies_kapha,head,winter
Green tomato pickle (Haray tamatar ka achaar),,,,,,,
Pickled cabbage ,,,,,,,
Coconut pickle (Nariyal ka aachar),,,,,,,
Potato pickle (Aloo ka achaar),,,,,,,
Mango murabba candy,sweet,heating,sweet,aggravates_kapha,pacifies_vata,digestive,summer
Afghani chicken,sweet,heating,pungent,aggravates_Kapha,pacifies_Vata,chest,winter
Fish orly,,,,,,,
Hariyali Fish Tikka,,,,,,,
Chicken manchurian,rasa,Tikta,Katu,Aggravates-Kapha,Pacifies-Vata,Abdomen,Winter
Handi chicken,Rasa,Tikta,Madhura,Aggravates_Kapha,Pacifies_Vata,Mamsam,Sarad-Ritu
Lemon chicken,,,,,,,
Lemon butter fish,sarca,katu,madhura,vata_ Pitta,kapha_ pacified,Mandaga,Summer
Baked eggs in tomato sauce,,,,,,,
Egg in a pepper,sweet,heating,pungent,aggravates_Vata&Pitta,pacifies_Kapha,digestive,spring-summer
Spinach mushroom scrambled egg (Palak mushroom bhurji),rasa,Katu,Madhura,Vatakapha,Pittapacifies,Lung,Autumn
Corn omelette/omlet,,,,,,,
Cajun chicken,,,,,,,
Paaner do pyaza,rasa,katu,madhura,aggravates_vata_pitta,pacifies_kapha,abdomen,winter
Cabbage manchurian (Pattagobhi manchurian),,,,,,,
Gobi 65,,,,,,,
Paneer lababdar,,,,,,,
Roasted cauliflower steak,,,,,,,
Sauteed radishes with green beans,,,,,,,
Garlic chutney/Poondu chutney (Lahasun ki chutney),,,,,,,
Schezwan chutney,rajas,tikta,katu,Vata&Pitta,Kapha,Head & Abdomen,All Season
Onion chutney (Pyaaz ki chutney/Vengaya chutney),rasa,pungent,heating,aggravates_vata_and_kapha,pacifies_pitta,head_neck_throat,all_seasons
Dates chutney (Khajoor ki chutney),sweet,heating,sweet,Vata & Pitta,Balances Kapha,Digestive tract,Hot season
Chicken salad,rasa,Katu,Vipak,Aggravates-Kapha,Pacifies-Vata,Throat,Summer
Macaroni salad,,,,,,,
Cabbage raita (Pattagobhi raita),rasa,katu,madhur,aggravates_pitta,pacifies_kapha,stomach,summer
Pomegranate raita (Anaar ka raita),sweet,cooling,sweet,Vata&Kapha,Pitta,Abdomen,Summer
Onion raita (Pyaaz ka raita),rasa,tikta,katu,aggravates_kapha,pacifies_pitta,stomach,summer
Green chilli raita (Hari mirch ka raita),katu,ushna,katu,Vata & Pitta,Kapha,Madhura,Grishma (monsoon)
Kale salad,,,,,,,
Spinach and paneer souffle ,,,,,,,
Masala souffle ,sweet,heating,sweet,Vata,Pitta,Abdomen,Winter
Chicken and cheese souffle,Chicken,Sukla,Madhura,Aggravates-Vata,Pacifies-Kapha,Abdomen,Winter
Tamarind chutney (Chintapandu pachadi/Puli chutney),,,,,,,
Pav bhaji masala,rasa,tikta,madhura,aggravates_kapha,pacifies_vata,abdomen,all_seasons
Green chutney,,,,,,,
Sago khitchdi/khichri (Sabudana khitchdi/khichri),Sago khitchdi/khichri: Sweet,heating,sweet,Vata & Kapha,Pitta,Digestive Tract,Summer
Gram flour chilla/cheela (Besan chilla/cheela),,,,,,,
Vegetable namkeen jave,rasa,tikta,katu,aggravates_vata,pacifies_kapha,mouth,all_seasons
Khakhra,Rasa,Katu,Madhura,Vata,Pitta,Prakriti,Winter
Moong bean dosa (Pesarattu),,,,,,,
Methi thepla,Rasa: Tikta (Bitter),Virya: Shita (Cold),Vipaka: Katu (Pungent),aggravates_dosha: Kapha,pacifies_dosha: Pitta,region: Abdomen,season: Winter
Rice puttu (Ari puttu),,,,,,,
Buckwheat pancake (Khura),sweet,cooling,sweet,Vata&Kapha,Pitta,digestive tract,autumn
Quinoa khichdi/khichri,,,,,,,
Khakhra chaat,,,,,,,
Banana appam,sweet,heavy,sweet,increases_kapha,decreases_vata,stomach,summer
Veg manchurian,,,,,,,
Pav bhaji,,,,,,,
Rice murukku,rasa,tikta,madhura,aggravates_kapha,pacifies_vata,head,rainy_season
Bhel puri ,,,,,,,
Semolina dhokla (Suji/Rava dhokla),,,,,,,
Spicy corn chaat ,spicy,tikta,katu,vata+kapha,pitta-,abdomen,summer
Jackfruit fritters (Ponsa mulik/Kathal ka pakora),sweet,heating,sweet,vata+kapha,pitta,digestive,summer
Banana chips (Kele ke chips),sweet,heating,sweet,aggravates_kapha,pacifies_vata,digestive,summer
Wheat cake,Sweet,Kapha++,Madhura,Aggravates Vata and Pitta,Pacifies Vata and Pitta,Stomach,Winter
Mango cheesecake,sweet,heating,sweet,aggravates_kapha,pacifies_vata,digestive,summer
Carrot cake (Gajar ka cake),sweet,heating,sweet,Vata,Pitta,Head & Neck,Winter
Semolina cake (Suji/Rava cake),rasa,tikta,madhura,vata,kapha,all over,winter
Finger millet cake (Ragi cake),rasa,tikta,madhura,vata,kapha,shira,winter
Honey cake,sweet,heating,sweet,aggravates Kapha,pacifies Vata,Throat,Winter
Almond cardamom cake (Badam elaichi cake),sweet,heating,sweet,Vata & Pitta,Kapha,Heart & Digestive,Winter
Tutti frutti cake,sweet,heating,sweet,Vata&Pitta,Kapha,Head,Summer
Ham and Bean soup,,,,,,,
Whey soup,,,,,,,
Bottle gourd soup (Ghiya/Lauki soup),Sweet,cooling,sweet,increases Kapha,decreases Pitta and Vata,Head (especially brain),Summer
Baked potato soup,Sweet,Pungent,Sour,Vata++,Kapha+,Digestive,Winter
Pumpkin soup,Sweet,cooling,sweet,Kapha,Pitta (reduced),Stomach,Autumn
Sweet corn soup,,,,,,,
Paneer soup,sweet,cooling,sweet,Kapha,Pitta,Digestive,Winter
Curried Cauliflower soup,rasa,tikta,katyushna,Vata,Pitta,Abhyantara,Autumn
Millet soup,sweet,cool,sweet,vata,pacifies,head,winter
Lemon coriander soup,pungent,cooling,sour,Pitta,Kapha,Digestive,Winter
Garlic soup,,,,,,,
Dal makhani,,,,,,,
Dalma,,,,,,,
Split bengal gram dal (Channa dal),,,,,,,
Horsegram dal (Kulthi dal) ,kasaya,tikta,madhura,vata,kapha,kshudra,winter
Panchmel dal,raktashali,tikta,katu,Vata+Pitta++,Kapha-,Abdomen,All Season
Dal dhokli,rasa,tikta,madhura,katu,rajas,abdomen,winter
Gujarati handvo ,raja,tikta,madhura,Vata,Kapha,Abhyanta,Grishma
Sev (Omapodi/Karapusa),rasa,tikta,madhura,vata,kapha,Urdhvaanga,Autumn
Papdi,Sweet,heating,sweet,Vata & Kapha (aggravates),Pitta (pacifies),Digestive tract,Winter
Jowar dosa,sweet,cooling,sweet,aggravates Vata & Pitta,pacifies Kapha,digestive system,summer
Bread roll,Sweet,Heavy,Pungent,Aggravates Vata & Kapha,Pacifies Pitta,Digestive System,All Seasons
Soya seekh kebab,,,,,,,
Classic seasoned black beans,,,,,,,
Maa chaane ki dal,sweet,heating,sweet,vata & kapha,pacifies pitta,stomach,winter
Garlic chickpea soup (Lahasun aur chane ka shoraba),rasa,Katu,Vipak,Aggravates_Kapha,Pacifies_Vata,Digestive,Winter
White sauce (thin),Rasa: Madhura (sweet),Virya: Sheeta (cold),Vipaka: Katu (pungent),aggravates_dosha: Kapha,pacifies_dosha: Pitta,region: All regions,season: Winter
White sauce (medium),,,,,,,
White sauce (thick),,,,,,,
Cheese sauce,rasa,Katu,Vipak,Kapha,Pitta,SthANa,Winter
Egg sauce,,,,,,,
Mushroom sauce,,,,,,,
Mustard sauce,pungent,hot,pungent,vata,kapha,head,winter
Brown sauce,,,,,,,
Classic italian pasta,,,,,,,
Pasta spinach sauce,,,,,,,
Pasta cheese sauce,,,,,,,
Mayonnaise,,,,,,,
Low calorie quick mayonnaise,,,,,,,
Thousand island dressing,Sweet,pungent,sour,aggravates Vata and Kapha,pacifies Pitta,Condiment,Summer
Curd dip,Sweet,Cooling,Slightly Sweet,Vata & Kapha (aggravates),Pitta (pacifies),Abdomen,Summer
Short crust pastry,,,,,,,
Choux pastry,sweet,heating,sweet,Vata+Pitta++,Kapha-,Throat,Winter
Flaky pastry,rasa,tikta (sour-astringent),ushna (heating),vatta,pitta,prana (lungs),sravana (autumn)
Sponge cake ,sweets,tikta (bitter-sweet),madhura (sweet),vata+kapha++,pitta-,thorax,autumn-winter
Glace icing,rasa,sweet,cold,vata,kapha,throat,summer
Royal icing,sweet,cooling,stable,Vata&Kapha,Pitta,head & throat,winter
American frosting,sweet,heavy,sweet,Vata+,Kapha-,Head & Throat,Winter
Gum icing,sweet,cooling,sweet,Vata+Kapha,Pitta-,Mouth,All Seasons
Channa murmura premix,,,,,,,
Cracked wheat and green gram dal premix (Dalia moong dal premix),,,,,,,
Rice flakes and roasted channa ,,,,,,,
Spinach soup in milk ,,,,,,,
Vegetable soup,rasa,Madhura,shläkshna,Kapha,Pitta,Rakta,All seasons
Mashed banana with milk,sweet,cooling,sweet,increases Kapha,decreases Vata,digestive tract,summer
Poha with curd (Poha aur dahi),rasa,Tikta (Bitter),Sheeta (Cold),Vata,Kapha,Agni,Rainy Season
Potato with curd,Sweet,Cooling,Sweet,Vata & Kapha,Pitta,Root,Autumn
Sweet wheat porridge (Sweet dalia),sweet,sweet,sugandhana,Kapha,Pitta,Stomach,Winter
Vegetable khichdi/khichri,rasa,madhura,tikta,aggravates_kapha,pacifies_vata,stomach,all_seasons
Moong dal mixture,sweet,cooling,sweet,Vata & Pitta,balances Kapha,Abdomen,Spring
Cracked wheat khichri/khichdi (Dalia khichri/khichdi),rasa,Katu,Madhura,Vata,Pitta,Apanasthambhana,Hot season
Stewed apple,sweet,cooling,sweet,pitta,kapha,digestive,autumn
Lemon squash (Nimbu ka squash),Sharq,Katu,Madhur,Pitta,Kapha,Raktamoolika,Summer
Orange squash (Santre ka squash),sweet,heating,sweet,vata & pitta,balances kapha,stomach,autumn
Lichi squash,sweet,heating,sweet,vata & pitta,kapha,cooling,summer
Mango squash (Aam ka squash),sweet,heating,sweet,aggravates_Pitta,pacifies_Kapha,digestive,summer
Pineapple squash (Ananas ka squash),Sweet,heating,sweet,aggravates Kapha,pacifies Vata and Pitta,tropical,summer
Lemon and ginger squash (Nimbu aur adrak ka squash),,,,,,,
Apple jam (Seb ka murabba),Sweet,Cooling,Sweet,Increases Kapha,Decreases Pitta,Abdomen,Winter
Plum jam (Aloo bukhara jam),sweet,slightly heating,sweet,Pitta,Kapha,Digestive system,Autumn
Pineapple jam ,sweet,heating,sour,aggravates_kapha,pacifies_vata,digestive,summer
Guava jelly (Amrood ki jelly),sweet,heating,sweet,Vata & Pitta,Kapha,Digestive tract,Summer
Orange marmalade (Santray ka murabba),rasa,tikta,madhur,katu,amla,Raktamajja,Winter
Carrot murabba (Gajar ka murabba),Sweet,heating,sweet,Vata & Pitta,Kapha,Sweet (Madhura),Winter
Gooseberry marmalade (Amla murabba),,,,,,,
Ginger candy (Adrak ki candy),Katu,Tikta,Madhura,Aggravates_Kapha,Pacifies_Vata,Zatuva,Ritu (Winter)
Mango pickle (Aam ka achaar),sweet,pungent,pungent,Pitta,Kapha,Digestive,Summer
Mixed vegetable pickle (Sabziyoon ka achaar),rasa,pungent,heating,Vata,Pitta,All over the body,All seasons
Sweet lemon pickle (Neembu ka meetha achaar),rasa,Tikta (sour),katu (pungent),Kapha,Pitta,Raktamoola,Summer
Plum chutney (Aloo bukhara ki chutney),sweets,heavy,sweet,Vata+Pitta+Kapha-,Pitta-Vata-Kapha+,Abdomen,Autumn
Raw mango chutney (Kachhe aam/Kairi ki chutney),rasa,tikta,katu,aggravates_kapha,pacifies_pitta,stomach,summer
Tomato sauce,,,,,,,
Tomato puree,Katu,Tikta,Madhura,Pitta,Kapha,Raktamala,Summer
Garam masala,pungent,hot,sweet,aggravates_Vata&Pitta,pacifies_Kapha,digestive system,all seasons
Chat masala,,,,,,,
Kashmiri masala,,,,,,,
Rasam powder (Rasam masala),rasa,Katu,Amla,Aggravates_Vata,Pacifies_Kapha,Gastrointestinal,All_Seasons
Sambar powder (Sambar masala),,,,,,,
Tartare sauce,sarira,tikta,madhura,vata+kapha++,pitta-,coastal,summer
Barbeque sauce,rasa,katu,madhura,aggravates_kapha,pacifies_vata,head,autumn
Bread sauce,sweet,heavy,sweet,Vata+Pitta++,Kapha-,North,Autumn
Green chilli sauce,pungent,heating,sharp,aggravates_ Pitta,pacifies_ Vata & Kapha,head to mouth,summer
Home made plain noodles,rasa,Tikta,Katu,Vata,Pitta,Rakta,Grishma
Dal moong,rasa,tikta,madhur,kapha,vata,utsanga,grishma
Onion tomato baghar (Pyaaz tamatar ka tadka),rasa,pungent,heating,aggravates_Pitta,pacifies_Vata,Pitta,All seasons
Mustard seeds baghar (Mustard seed tadka),rasa,pungent,heating,vata,kapha,agni,winter
Hot cherry sauce,pungent,heating,sweet,Pitta,reduces Kapha,abdomen,summer
Apple jelly (Seb ki jelly),sweet,cooling,sweet,Vata & Pitta,Kapha,Digestive system,Autumn
Marmalade (Murabba),sweets,heating,sweet,Vata,Pitta,Head,Winter
Plum squash (Aloo bukhara squash),Sweet,Heating,Sweet,Pitta,Vata,Abdomen,Autumn
Lemon green chilli pickle (Nimboo aur hari mirch ka achaar),rasa,pungent,heating,Pitta,reduces Kapha,Sharma,Summer
Brinjal pickle (Baingan ka achaar),,,,,,,
Sweet and sour tomato pickle (Khatta meetha tamatar ka achaar),rasa,Madhura,Katu,Kapha,Pitta,Prakriti,All Season
Jhatpat achar with carrot (Jhatpat achaar gajar ke saath),rasa,tikta,katu,Vata+Pitta++,Kapha-,Urdhvaanga,Summer
Tomato chutney (Tamatar ki chutney),,,,,,,
Tomato ketchup,rasa,Katu,Amla,Aggravates_Pitta,Pacifies_Vata,Digestive,All_Seasons
Bengal 5 Spice Blend (Panch Phoran),,,,,,,
